prefix_length,threshold,n_eval,accuracy,precision,recall,f1,tp,tn,fp,fn
0,,20000,0.772,0.0,0.0,0.0,0,15440,0,4560
1,0.7551408410072327,20000,0.772,0.0,0.0,0.0,0,15440,0,4560
2,0.7797224521636963,20000,0.80655,0.7459074733096085,0.22982456140350876,0.35138306789606033,1048,15083,357,3512
3,1.1684715747833252,20000,0.80935,0.7206142941523922,0.2675438596491228,0.3902126979050056,1220,14967,473,3340
4,0.7135632038116455,20000,0.8246,0.6702265372168285,0.45416666666666666,0.5414379084967319,2071,14421,1019,2489
5,1.0015544891357422,20000,0.8409,0.7045724465558195,0.5203947368421052,0.5986377396569122,2373,14445,995,2187
6,0.5231755971908569,20000,0.84025,0.6992700729927007,0.5252192982456141,0.5998747651847214,2395,14410,1030,2165
7,0.7895101308822632,20000,0.9123,0.8483118172790467,0.7493421052631579,0.7957615277130882,3417,14829,611,1143
8,0.7591487169265747,20000,0.9093,0.8378444881889764,0.7467105263157895,0.789656771799629,3405,14781,659,1155
9,1.3503825664520264,20000,0.9216,0.8928571428571429,0.7456140350877193,0.8126195028680688,3400,15032,408,1160
10,1.45512056350708,20000,0.9327,0.9340896812533765,0.7583333333333333,0.8370854514645364,3458,15196,244,1102
11,1.2824156284332275,20000,0.9362,0.9175991861648016,0.7912280701754386,0.8497409326424871,3608,15116,324,952
12,1.048315167427063,20000,0.93725,0.9111719333167455,0.8030701754385965,0.8537125539107122,3662,15083,357,898
13,1.1963236331939697,20000,0.95105,0.9198124267291911,0.8603070175438596,0.8890651558073653,3923,15098,342,637
14,1.2599267959594727,20000,0.95205,0.939039258717386,0.8445175438596492,0.8892737559173306,3851,15190,250,709
15,1.2296491861343384,20000,0.9529,0.941650390625,0.8458333333333333,0.8911737523105361,3857,15201,239,703
16,1.363410472869873,20000,0.95445,0.9526172165715703,0.8421052631578947,0.893958794086835,3840,15249,191,720
17,1.1508409976959229,20000,0.95665,0.925166935298181,0.881140350877193,0.9026170953611142,4018,15115,325,542
18,0.8460822701454163,20000,0.9567,0.9224611161939615,0.8844298245614035,0.9030452306314375,4033,15101,339,527
19,0.9580997824668884,20000,0.9573,0.9329439252336449,0.8756578947368421,0.903393665158371,3993,15153,287,567
20,1.1915614604949951,20000,0.96045,0.9485836705546299,0.8739035087719298,0.9097135030247689,3985,15224,216,575
21,1.4592041969299316,20000,0.9614,0.9601554907677357,0.8666666666666667,0.9110189027201475,3952,15276,164,608
22,1.2320467233657837,20000,0.96245,0.9524827750059397,0.8791666666666667,0.9143573953700536,4009,15240,200,551
23,1.1191917657852173,20000,0.9629,0.946236559139785,0.887719298245614,0.9160443539262275,4048,15210,230,512
24,1.4220764636993408,20000,0.9623,0.9574519230769231,0.8734649122807018,0.9135321100917431,3983,15263,177,577
25,1.3889193534851074,20000,0.9628,0.9551526717557252,0.8780701754385964,0.9149908592321756,4004,15252,188,556
26,1.3101246356964111,20000,0.96325,0.9486277269528501,0.8868421052631579,0.9166950017001021,4044,15221,219,516
27,1.3907878398895264,20000,0.9633,0.9516052880075543,0.8839912280701754,0.9165529786266484,4031,15235,205,529
28,1.21335768699646,20000,0.96455,0.9542344892663364,0.8870614035087719,0.9194226616660984,4045,15246,194,515
29,0.9670787453651428,20000,0.9643,0.9404489234997709,0.900438596491228,0.9200089625812232,4106,15180,260,454
30,0.8707054257392883,20000,0.9649,0.9321236559139785,0.9125,0.9222074468085106,4161,15137,303,399
31,0.8509188294410706,20000,0.96615,0.9493172876648924,0.8995614035087719,0.9237698457380925,4102,15221,219,458
32,0.7740479111671448,20000,0.96605,0.9441519798580911,0.9046052631578947,0.9239556501287938,4125,15196,244,435
33,0.8892382979393005,20000,0.9665,0.9463056447911886,0.9043859649122807,0.9248710473200269,4124,15206,234,436
34,1.7165348529815674,20000,0.9676,0.9749878581835842,0.8804824561403509,0.9253284166858723,4015,15337,103,545
35,1.5426087379455566,20000,0.96865,0.9665480427046264,0.8934210526315789,0.9285470085470087,4074,15299,141,486
36,1.5132508277893066,20000,0.96875,0.966785290628707,0.893640350877193,0.9287749287749288,4075,15300,140,485
37,1.4497485160827637,20000,0.9693,0.9682012339819649,0.8947368421052632,0.9300205151584225,4080,15306,134,480
38,1.1869733333587646,20000,0.97005,0.9604743083003953,0.905921052631579,0.9324004062746867,4131,15270,170,429
39,1.0197384357452393,20000,0.97025,0.9541809851088202,0.9133771929824561,0.9333333333333333,4165,15240,200,395
40,1.0650866031646729,20000,0.9699,0.9549425287356322,0.9109649122807018,0.9324354657687991,4154,15244,196,406
41,0.916149914264679,20000,0.97035,0.9531642677633082,0.9149122807017543,0.9336466375741299,4172,15235,205,388
42,1.2465722560882568,20000,0.9699,0.9608756404285049,0.9048245614035088,0.9320081319177773,4126,15272,168,434
43,1.4530799388885498,20000,0.97095,0.9677874441570656,0.9026315789473685,0.9340746624305005,4116,15303,137,444
44,1.4751768112182617,20000,0.97125,0.9682726204465335,0.9035087719298246,0.9347702779353376,4120,15305,135,440
45,1.33974289894104,20000,0.97305,0.9700724807107786,0.9098684210526315,0.9390064501527667,4149,15312,128,411
46,1.2348449230194092,20000,0.9727,0.9684873949579832,0.9098684210526315,0.9382632293080054,4149,15305,135,411
47,1.8540606498718262,20000,0.97495,0.9754040758959944,0.9131578947368421,0.9432551817872918,4164,15335,105,396
48,1.6257154941558838,20000,0.9757,0.9779446269357109,0.9140350877192982,0.9449104511448652,4168,15346,94,392
49,1.5597469806671143,20000,0.97575,0.977725674091442,0.9144736842105263,0.945042492917847,4170,15345,95,390
50,1.6157150268554688,20000,0.97555,0.970853573907009,0.9203947368421053,0.944951030057413,4197,15314,126,363
51,1.7510144710540771,20000,0.9759,0.9735253135160241,0.9192982456140351,0.9456350101511392,4192,15326,114,368
52,1.7109887599945068,20000,0.9761,0.9746511627906976,0.9190789473684211,0.9460496613995485,4191,15331,109,369
53,1.5580980777740479,20000,0.976,0.9739776951672863,0.9192982456140351,0.9458483754512635,4192,15328,112,368
54,1.6858611106872559,20000,0.9759,0.9730858468677495,0.9197368421052632,0.9456595264937994,4194,15324,116,366
55,1.4140956401824951,20000,0.9762,0.9662100456621004,0.9280701754385965,0.9467561521252795,4232,15292,148,328
56,1.21441650390625,20000,0.9763,0.9664383561643836,0.9282894736842106,0.946979865771812,4233,15293,147,327
57,1.4911279678344727,20000,0.97635,0.9705272852866682,0.9243421052631579,0.9468718409524878,4215,15312,128,345
